,keywords,number_of_times_word_appeared,tf,idf,tf_idf
959,th,451,0.012349059445250677,-6.111467339502679,-0.07547087347322658
1486,an,435,0.01191095534076285,-6.075346031088684,-0.07236317525597814
857,in,385,0.010541880014238383,-5.953243334287785,-0.06275837692562627
249,on,360,0.00985734235097615,-5.886104031450156,-0.05802134255146508
478,or,356,0.009747816324854193,-5.87493073085203,-0.057267745685587
863,re,350,0.009583527285671257,-5.857933154483459,-0.05613966222363053
388,at,328,0.008981134142000493,-5.793013608384143,-0.0520278323033323
438,nd,258,0.007064428684866241,-5.552959584921617,-0.03922848697762321
1291,the,234,0.006407272528134498,-5.455321115357702,-0.03495372911458345
1429,as,230,0.006297746502012541,-5.438079308923196,-0.03424764494543783
723,et,218,0.005969168423646669,-5.384495062789089,-0.03214095790608202
806,it,217,0.00594178691711618,-5.37989735354046,-0.03196620371069466
1023,al,207,0.005667971851811286,-5.332718793265369,-0.03022570001385316
1379,to,207,0.005667971851811286,-5.332718793265369,-0.03022570001385316
830,se,203,0.00555844582568933,-5.313205979041787,-0.02953316759523241
1197,and,193,0.005284630760384436,-5.262690188904886,-0.02781137445466014
980,de,187,0.005120341721201501,-5.231108616854587,-0.026785063699017217
693,is,183,0.0050108156950795435,-5.209486152841421,-0.026103774977957343
1335,of,167,0.0045727115905917146,-5.117993812416755,-0.023403109626614776
564,lo,148,0.004052462966512418,-4.997212273764115,-0.02025101767523039
185,ing,134,0.0036691218750855674,-4.897839799950911,-0.017970771150664606
906,UDP,122,0.0033405437967196955,-4.804021044733257,-0.01604804270029455
460,ac,115,0.0031488732510062704,-4.74493212836325,-0.01494118985684329
1195,for,112,0.0030667287314148023,-4.718498871295094,-0.014470356057748981
1356,tion,109,0.0029845842118233347,-4.6913478822291435,-0.014001722821471939
418,ment,109,0.0029845842118233347,-4.6913478822291435,-0.014001722821471939
1002,net,105,0.0028750581857013772,-4.653960350157523,-0.013380406800650035
1328,po,98,0.002683387639987952,-4.584967478670572,-0.012303245062011338
870,TCP,98,0.002683387639987952,-4.584967478670572,-0.012303245062011338
1351,con,93,0.0025464801073355058,-4.532599493153256,-0.011542174443833764
937,pro,91,0.002491717094274527,-4.51085950651685,-0.011239785742258791
1014,be,79,0.002163139015908655,-4.3694478524670215,-0.0094517231276497
334,we,77,0.002108376002847677,-4.343805421853684,-0.009158375112475938
160,In,73,0.0019988499767257194,-4.290459441148391,-0.008575984754082104
868,port,71,0.001944086963664741,-4.2626798770413155,-0.008287020379232042
288,no,70,0.0019167054571342516,-4.248495242049359,-0.00814311401504491
